t,px_err_x,px_err_y,ee_x,ee_y,ee_z,ref_x,ref_y,ref_z
16.49043917655945,50.0,13.0,0.19651321114851775,0.15794342751828677,0.7857056946189043,0.2,0.17923414798760587,0.6669676492254668
16.617785930633545,45.0,17.0,0.1991863717878902,0.16406170535143194,0.7554613921673682,0.2,0.17704585354508232,0.6361117108383274
16.74427604675293,40.0,21.0,0.1994129490480246,0.16709115431194366,0.7251664545109114,0.2,0.17348042634128888,0.6074662304029281
16.854427576065063,36.0,23.0,0.19792780909005583,0.16725929889620214,0.695843609951255,0.2,0.16926712149483555,0.5848491737763426
16.964466094970703,32.0,26.0,0.19531416058117257,0.16594215908726284,0.6688389255444072,0.2,0.16405382349769315,0.5649839727867243
17.090933084487915,28.0,28.0,0.19208021879756856,0.16331129997992513,0.6455778695923922,0.2,0.15686278500181866,0.546128045438575
17.21728754043579,25.0,30.0,0.18915524388468372,0.1598996254800256,0.6260000587879563,0.2,0.14845123303992935,0.5320933321138679
17.344419479370117,22.0,31.0,0.18695462799913373,0.1556545243077319,0.6092419786831721,0.2,0.13881675222723147,0.5232618791948618
17.470734357833862,19.0,32.0,0.18590809561573435,0.15079902367395173,0.5953228796315024,0.2,0.12815593055055083,0.5200171991272864
17.62542986869812,16.0,32.0,0.18617226886878818,0.1454482854615923,0.5839960865841746,0.2,0.1137449448077841,0.5236870119759944
17.75076913833618,14.0,32.0,0.18767737878102841,0.13968063528311003,0.5750072178055184,0.2,0.10108316888662519,0.532722095909288
17.861166954040527,11.0,32.0,0.1906234538427904,0.13158384615934998,0.5682277299638151,0.2,0.08928332501660964,0.5449484405515976
18.004138469696045,9.0,31.0,0.19411613481172363,0.12230204095426508,0.5637448009010593,0.2,0.07322053662007866,0.566222299264047
18.146786212921143,8.0,30.0,0.1976947174678956,0.11245000676031251,0.5613932383839725,0.2,0.056463719576312243,0.5927724227276838
18.320173978805542,6.0,29.0,0.2021526112593036,0.10097259465023083,0.5617990984985765,0.2,0.03535507113377535,0.6306672600271267
18.462887048721313,5.0,27.0,0.2077266139568203,0.08906303488223355,0.5653618738826299,0.2,0.01757654251606552,0.6650149091766108
18.588431358337402,5.0,25.0,0.2163369553530532,0.07484149360713235,0.5738697420788414,0.2,0.0017859828653913566,0.6964282101010663
18.728293895721436,6.0,20.0,0.2268319927508224,0.058960112278308247,0.5878966083000324,0.2,-0.01581624418588395,0.7315101378613191
18.83831787109375,7.0,15.0,0.23778195596187182,0.041812455357791115,0.608492050796511,0.2,-0.029565112245816746,0.7583271556052973
18.964000940322876,8.0,9.0,0.24728066992699074,0.02200911198473941,0.6378960977305981,0.2,-0.0450516144689325,0.7872354011556704
19.090266704559326,11.0,2.0,0.2510904272697987,0.002516375139565082,0.6723614613285621,0.2,-0.06025882332353306,0.8135637097808256
19.215935230255127,15.0,-6.0,0.24911200373296036,-0.016254155380928302,0.7096284918918601,0.2,-0.07492717515511228,0.8362542699005933
19.369632482528687,17.0,-12.0,0.2431176025175009,-0.03239677720182663,0.7453422427621512,0.2,-0.09206829414234516,0.8582265297403185
19.496538877487183,19.0,-17.0,0.23515906751877289,-0.04721310122855524,0.7767457601432615,0.2,-0.1054273933453342,0.8709025123406556
